교과,학년군,영역,성취기준코드,성취기준
과학,3-4학년군,힘과 우리 생활,[4과01-01],"일상생활에서 힘과 관련된 현상에 흥미를 갖고, 물체를 밀거나 당길 때 나타나는 현상을 관찰할 수 있다."
과학,3-4학년군,힘과 우리 생활,[4과01-02],수평 잡기 활동을 통해 물체의 무게를 비교할 수 있다.
과학,3-4학년군,힘과 우리 생활,[4과01-03],"무게를 정확히 비교하기 위해서는 저울이 필요함을 알고, 저울을 사용해 무게를 비교할 수 있다."
과학,3-4학년군,힘과 우리 생활,[4과01-04],"지레, 빗면과 같은 도구를 이용하면 물체를 들어 올릴 때 드는 힘의 크기가 달라짐을 알고, 도구가 일상생활에서 어떻게 쓰이는지 조사하여 공유할 수 있다."
과학,3-4학년군,동물의 생활,[4과02-01],여러 가지 동물을 관찰하여 특징에 따라 동물을 분류할 수 있다.
과학,3-4학년군,동물의 생활,[4과02-02],다양한 환경에 서식하는 동물을 조사하여 동물의 생김새와 생활 방식이 환경과 관련되어 있음을 설명할 수 있다.
과학,3-4학년군,동물의 생활,[4과02-03],동물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.
과학,3-4학년군,식물의 생활,[4과03-01],여러 가지 식물을 관찰하여 특징에 따라 식물을 분류할 수 있다.
과학,3-4학년군,식물의 생활,[4과03-02],다양한 환경에 서식하는 식물을 조사하여 식물의 생김새와 생활 방식이 환경과 관련되어 있음을 설명할 수 있다.
과학,3-4학년군,식물의 생활,[4과03-03],식물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.
과학,3-4학년군,생물의 한살이,[4과04-01],"동물의 한살이를 직접 관찰하고, 관찰한 내용을 글과 그림으로 표현할 수 있다."
과학,3-4학년군,생물의 한살이,[4과04-02],식물이 자라는 데 필요한 조건을 찾는 실험을 설계하여 수행할 수 있다.
과학,3-4학년군,생물의 한살이,[4과04-03],생물의 한살이 과정을 조사하여 생물에 따라 한살이의 유형이 다양함을 소개하는 자료를 만들어 공유할 수 있다.
과학,3-4학년군,물체와 물질,[4과05-01],"물체를 이루는 여러 가지 물질의 성질을 비교하고, 물질의 종류에 따라 물체를 분류할 수 있다."
과학,3-4학년군,물체와 물질,[4과05-02],"물질의 세 가지 상태인 고체, 액체, 기체의 성질을 관찰하여 비교할 수 있다."
과학,3-4학년군,물체와 물질,[4과05-03],다양한 물질의 성질을 이용하여 쓰임새 있는 물체를 설계할 수 있다.
과학,3-4학년군,지구와 바다,[4과06-01],"지구가 대기로 둘러싸여 있음을 알고, 지구 표면을 구성하는 육지와 바다의 특징을 비교할 수 있다."
과학,3-4학년군,지구와 바다,[4과06-02],"바닷물의 특징을 육지의 물과 비교하고, 바닷가에서 볼 수 있는 다양한 지형을 조사할 수 있다."
과학,3-4학년군,지구와 바다,[4과06-03],"밀물과 썰물의 차이를 알고, 갯벌의 가치와 보전의 필요성을 설득⋅홍보할 수 있다."
과학,3-4학년군,소리의 성질,[4과07-01],"여러 가지 물체를 이용하여 소리를 내보고, 소리가 나는 물체는 떨림이 있음을 설명할 수 있다."
과학,3-4학년군,소리의 성질,[4과07-02],"큰 소리와 작은 소리, 높은 소리와 낮은 소리를 구분하고, 세기와 높낮이가 다른 소리를 낼 수 있다."
과학,3-4학년군,소리의 성질,[4과07-03],"여러 가지 물질을 통하여 소리가 전달되는 것을 관찰하고, 소음을 줄이는 방법을 찾아 일상생활에서 실천할 수 있다."
과학,3-4학년군,감염병과 건강한 생활,[4과08-01],"생활 속 감염병의 사례를 알고, 다양한 질병과 그 위험성에 대해 토의할 수 있다."
과학,3-4학년군,감염병과 건강한 생활,[4과08-02],"감염병으로부터 안전한 사회에 관심을 가지고, 여러 감염 과정을 통해 생활 습관과 감염병 유행과의 연관성을 설명할 수 있다."
과학,3-4학년군,감염병과 건강한 생활,[4과08-03],"건강한 생활을 위해 필요한 감염병 예방 수칙을 공유하고, 생활 속에서 실천할 수 있다."
과학,3-4학년군,자석의 이용,[4과09-01],"자석과 여러 가지 물체를 가까이했을 때 나타나는 현상을 관찰하고, 자석과 자석에 붙는 물체 사이에 작용하는 힘의 특징을 말할 수 있다."
과학,3-4학년군,자석의 이용,[4과09-02],자석과 자석을 가까이했을 때 나타나는 현상을 관찰하여 그 특징을 자석의 극과 관련지어 설명할 수 있다.
과학,3-4학년군,자석의 이용,[4과09-03],자석을 이용하여 일상생활을 편리하게 하는 장치를 설계할 수 있다.
과학,3-4학년군,물의 상태 변화,[4과10-01],"물이 세 가지 상태로 변할 수 있음을 알고, 우리 주변에서 예를 찾을 수 있다."
과학,3-4학년군,물의 상태 변화,[4과10-02],"물이 얼 때, 얼음이 녹을 때, 물이 증발할 때와 끓을 때, 수증기가 응결할 때의 변화를 관찰할 수 있다."
과학,3-4학년군,물의 상태 변화,[4과10-03],물의 상태 변화를 이용하여 물을 얻을 수 있는 장치를 설계하고 만들 수 있다.
과학,3-4학년군,땅의 변화,[4과11-01],흐르는 물의 작용과 강 주변 지형의 특징을 관련지을 수 있다.
과학,3-4학년군,땅의 변화,[4과11-02],"화산의 의미와 화산 활동으로 나오는 물질을 알고, 화산 활동을 모형으로 표현할 수 있다."
과학,3-4학년군,땅의 변화,[4과11-03],화성암을 관찰하고 분류할 수 있다.
과학,3-4학년군,땅의 변화,[4과11-04],"화산 활동과 지진이 우리 생활에 미치는 영향을 조사하여, 대처 방법을 실천할 수 있다."
과학,3-4학년군,다양한 생물과 우리 생활,[4과12-01],균류⋅원생생물⋅세균을 관찰하여 특징과 사는 곳을 설명할 수 있다.
과학,3-4학년군,다양한 생물과 우리 생활,[4과12-02],균류⋅원생생물⋅세균이 우리 생활에 미치는 영향을 조사하여 발표할 수 있다.
과학,3-4학년군,다양한 생물과 우리 생활,[4과12-03],우리 생활에 생명과학이 이용되는 사례를 소개하는 자료를 만들어 공유할 수 있다.
과학,3-4학년군,밤하늘 관찰,[4과13-01],"달의 모양과 표면, 달의 위상변화를 관찰하여 밤하늘 관찰에 흥미를 가질 수 있다."
과학,3-4학년군,밤하늘 관찰,[4과13-02],"태양계 구성원을 알고, 태양과 행성을 조사할 수 있다."
과학,3-4학년군,밤하늘 관찰,[4과13-03],"별의 정의를 알고, 북극성 주변의 별자리를 관찰할 수 있다."
과학,3-4학년군,생물과 환경,[4과14-01],생태계의 구성 요소를 조사하여 생물 요소와 비생물 요소로 분류할 수 있다.
과학,3-4학년군,생물과 환경,[4과14-02],생물 요소들의 먹고 먹히는 관계를 조사하여 먹이그물로 표현할 수 있다.
과학,3-4학년군,생물과 환경,[4과14-03],"인간 활동이 생태계에 미치는 영향을 조사하고, 생태계 보전을 위해 우리가 할 수 있는 일을 토의하여 실천할 수 있다."
과학,3-4학년군,여러 가지 기체,[4과15-01],실험을 통해 기체가 무게가 있음을 설명할 수 있다.
과학,3-4학년군,여러 가지 기체,[4과15-02],"온도나 압력에 따라 기체의 부피가 달라지는 현상을 관찰하고, 우리 주변에서 예를 찾을 수 있다."
과학,3-4학년군,여러 가지 기체,[4과15-03],"일상생활에서 이용되는 기체의 종류와 성질을 조사하고, 여러 가지 기체에 대해 흥미를 느낄 수 있다."
과학,3-4학년군,여러 가지 기체,[4과15-04],기체의 성질을 이용하여 작동시킬 수 있는 장치를 설계하고 만들 수 있다.
과학,3-4학년군,기후변화와 우리 생활,[4과16-01],"기후변화 현상의 예를 알고, 기후변화가 인간의 활동과 관련되어 있음을 토의할 수 있다."
