교과,학년군,영역,성취기준코드,성취기준
도덕,3-4학년군,자신과의 관계,[4도01-01],자신의 감정을 소중히 여기며 존중하는 태도를 바탕으로 내가 누구인가를 탐구한다.
도덕,3-4학년군,자신과의 관계,[4도01-02],정직의 의미를 알고 모범적인 사례를 탐색하여 바르게 행동하려는 태도를 기른다.
도덕,3-4학년군,자신과의 관계,[4도01-03],성실한 생활의 모범 사례를 탐색하고 시간 관리를 위한 생활을 계획하여 지속적인 자기 성장을 모색한다.
도덕,3-4학년군,자신과의 관계,[4도01-04],다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하고 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 기른다.
도덕,5-6학년군,자신과의 관계,[6도01-01],자주적인 삶에 대한 이해를 바탕으로 자신의 생활계획을 세우고 실천하여 주체적인 삶의 태도를 기른다.
도덕,5-6학년군,자신과의 관계,[6도01-02],생활 습관에 대한 성찰을 통해 자기 생활을 점검하고 올바른 계획을 세워 이를 실천한다.
도덕,5-6학년군,자신과의 관계,[6도01-03],자기가 하고 싶은 일을 선택할 때 도덕적 고려의 필요성을 알고 자신의 특기와 적성을 탐색하여 진로계획을 수립한다.
도덕,3-4학년군,타인과의 관계,[4도02-01],"효, 우애의 의미와 필요성을 명료하게 이해하고 가족의 행복을 위해 할 수 있는 일을 탐색하여 실천 계획을 세운다."
도덕,3-4학년군,타인과의 관계,[4도02-02],친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 탐색한다.
도덕,3-4학년군,타인과의 관계,[4도02-03],공감의 태도가 필요한 이유를 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정을 나누는 방법을 탐구하여 실천한다.
도덕,5-6학년군,타인과의 관계,[6도02-01],"봉사의 의미와 중요성을 이해하고, 타인이 처한 상황과 환경에 대한 주의 깊은 관심을 바탕으로 봉사를 실천한다."
도덕,5-6학년군,타인과의 관계,[6도02-02],"편견이 발생하는 이유를 탐색하여 해결 방안을 살펴보고, 다양성 존중을 바탕으로 다른 사람과 올바른 관계를 맺기 위한 실천 방안을 탐구한다."
도덕,5-6학년군,타인과의 관계,[6도02-03],인간과 인공지능 로봇 간의 다양한 관계를 파악하고 도덕에 기반을 둔 관계 형성의 필요성을 탐구한다.
도덕,3-4학년군,사회⋅공동체와의 관계,[4도03-01],"불공정의 사례를 탐구하고, 일상생활에서 공정의 가치를 추구하는 활동을 통해 실천 의지를 함양한다."
도덕,3-4학년군,사회⋅공동체와의 관계,[4도03-02],"디지털 사회에서 발생하는 다양한 문제를 살펴보고, 해결 방안을 탐구하여 정보통신 윤리에 대한 민감성을 기른다."
도덕,3-4학년군,사회⋅공동체와의 관계,[4도03-03],"통일의 필요성을 이해하고, 통일 감수성을 길러 바람직한 통일의 방향을 모색한다."
도덕,5-6학년군,사회⋅공동체와의 관계,[6도03-01],인권과 관련된 다양한 사례를 살펴보고 인권에 관한 감수성을 길러 이를 실천하려는 의지를 함양한다.
도덕,5-6학년군,사회⋅공동체와의 관계,[6도03-02],정의에 관한 관심을 토대로 공동체 규칙의 중요성을 살펴보고 직접 공정한 규칙을 고안하며 기초적인 시민의식을 기른다.
도덕,5-6학년군,사회⋅공동체와의 관계,[6도03-03],통일과정과 통일 이후 사회의 여러 가지 상황을 예상하고 바람직한 통일과정과 통일 국가의 사회상을 제시한다.
도덕,5-6학년군,사회⋅공동체와의 관계,[6도03-04],다른 나라 사람들이 처한 여러 가지 상황을 종합적으로 이해하고 해결 방안을 탐구하며 인류애를 기른다.
도덕,3-4학년군,자연과의 관계,[4도04-01],생명 경시 사례를 조사하고 문제 해결 방법을 탐구함으로써 생명의 소중함을 이해한다.
도덕,3-4학년군,자연과의 관계,[4도04-02],인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다.
도덕,5-6학년군,자연과의 관계,[6도04-01],"지구의 환경 위기 상황을 이해하고, 이를 극복하기 위한 다양한 방안을 찾아 자신의 일상에서 실천하고자 노력한다."
도덕,5-6학년군,자연과의 관계,[6도04-02],지속가능한 삶의 의미를 탐구하고 미래 세대에 대한 책임을 강화하여 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안을 찾는다.
