교과,학년군,영역,성취기준코드,성취기준
미술,3-4학년군,미적 체험,[4미01-01],자연물과 인공물을 탐색하는 데 다양한 감각을 활용할 수 있다.
미술,3-4학년군,미적 체험,[4미01-02],주변 대상을 체험하며 떠오른 느낌과 생각을 다양한 방법으로 나타낼 수 있다.
미술,3-4학년군,미적 체험,[4미01-03],미적 탐색에 호기심을 갖고 참여하며 자신의 감각으로 대상의 특징을 이해할 수 있다.
미술,3-4학년군,미적 체험,[4미01-04],생활 속에서 활용되는 미술에 관심을 가지고 미술의 특징과 역할을 발견할 수 있다.
미술,3-4학년군,표현,[4미02-01],관찰과 상상으로 아이디어를 떠올려 표현 주제를 구체화할 수 있다.
미술,3-4학년군,표현,[4미02-02],기본적인 표현 재료와 용구의 특성을 이해하고 사용 방법을 익힐 수 있다.
미술,3-4학년군,표현,[4미02-03],조형 요소의 특징을 자유롭게 탐색하며 주제 표현에 알맞게 활용할 수 있다.
미술,3-4학년군,표현,[4미02-04],표현 의도를 가지고 작품을 제작하며 자기 작품을 소중히 여길 수 있다.
미술,3-4학년군,표현,[4미02-05],미술과 타 교과를 관련지어 주제를 표현하는데 흥미를 가질 수 있다.
미술,3-4학년군,감상,[4미03-01],미술 작품을 자세히 보고 작품과 미술가에 관해 질문할 수 있다.
미술,3-4학년군,감상,[4미03-02],미술 작품의 특징과 작품에 관한 자신의 느낌과 생각을 설명할 수 있다.
미술,3-4학년군,감상,[4미03-03],미술 문화에 관심을 가지고 전시 및 행사에 참여할 수 있다.
미술,3-4학년군,감상,[4미03-04],작품 감상에 흥미를 가지고 참여하며 작품에 대한 자신의 감상 관점을 존중할 수 있다.
미술,5-6학년군,미적 체험,[6미01-01],다양한 감각과 매체를 활용하여 자신과 대상을 탐색할 수 있다.
미술,5-6학년군,미적 체험,[6미01-02],"자신이나 주변 환경에서 찾은 감각적 특징, 느낌, 생각 등을 관련지어 나타낼 수 있다."
미술,5-6학년군,미적 체험,[6미01-03],주변 환경에 대한 민감한 태도로 대상과 상호 작용하며 새로운 의미를 발견할 수 있다.
미술,5-6학년군,미적 체험,[6미01-04],이미지가 나타내는 의미를 비판적으로 이해하고 느낌과 생각을 전달하는 데 활용할 수 있다.
미술,5-6학년군,표현,[6미02-01],다양한 방법으로 아이디어를 연결하여 확장된 표현 주제로 발전시킬 수 있다.
미술,5-6학년군,표현,[6미02-02],디지털 매체 등 다양한 표현 재료와 용구를 탐색하여 작품 제작에 활용할 수 있다.
미술,5-6학년군,표현,[6미02-03],조형 요소의 어울림을 통해 조형 원리를 이해하고 주제 표현에 연결할 수 있다.
미술,5-6학년군,표현,[6미02-04],주제 표현에 의지를 갖고 표현 과정을 돌아보며 작품을 발전시킬 수 있다.
미술,5-6학년군,표현,[6미02-05],미술과 타 교과의 내용과 방법을 융합하는 활동을 자유롭게 시도할 수 있다.
미술,5-6학년군,감상,[6미03-01],"미술 작품을 작품이 만들어진 시대적, 지역적 배경 등과 연결하여 이해할 수 있다."
미술,5-6학년군,감상,[6미03-02],"미술 작품의 내용(소재, 주제 등)과 형식(재료와 용구, 표현 방법, 조형 요소와 원리 등)을 분석하여 작품의 특징을 설명할 수 있다."
미술,5-6학년군,감상,[6미03-03],공동체의 미술 문화 활동에 관심을 가지고 참여하며 경험을 공유할 수 있다.
미술,5-6학년군,감상,[6미03-04],다양한 방법을 활용하여 작품을 감상하며 작품에 관한 서로 다른 관점을 존중할 수 있다.
