교과,학년군,영역,성취기준코드,성취기준
수학,1-2학년군,수와 연산,[2수01-01],"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다."
수학,1-2학년군,수와 연산,[2수01-02],"일, 십, 백, 천의 자릿값과 위치적 기수법을 이해하고, 네 자리 이하의 수를 읽고 쓸 수 있다."
수학,1-2학년군,수와 연산,[2수01-03],"네 자리 이하의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다."
수학,1-2학년군,수와 연산,[2수01-04],하나의 수를 두 수로 분해하고 두 수를 하나의 수로 합성하는 활동을 통하여 수 감각을 기른다.
수학,1-2학년군,수와 연산,[2수01-05],덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 이해한다.
수학,1-2학년군,수와 연산,[2수01-06],두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
수학,1-2학년군,수와 연산,[2수01-07],덧셈과 뺄셈의 관계를 이해한다.
수학,1-2학년군,수와 연산,[2수01-08],두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 할 수 있다.
수학,1-2학년군,수와 연산,[2수01-09],"□가 사용된 덧셈식과 뺄셈식을 만들고, □의 값을 구할 수 있다."
수학,1-2학년군,수와 연산,[2수01-10],곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 이해한다.
수학,1-2학년군,수와 연산,[2수01-11],"곱셈구구를 이해하고, 한 자리 수의 곱셈을 할 수 있다."
수학,1-2학년군,변화와 관계,[2수02-01],"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다."
수학,1-2학년군,변화와 관계,[2수02-02],"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-01],"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다."
수학,1-2학년군,도형과 측정,[2수03-02],"쌓기나무를 이용하여 여러 가지 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-03],"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다."
수학,1-2학년군,도형과 측정,[2수03-04],"삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다."
수학,1-2학년군,도형과 측정,[2수03-05],"삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-06],"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-07],시계를 보고 시각을 ‘몇 시 몇 분’까지 읽을 수 있다.
수학,1-2학년군,도형과 측정,[2수03-08],"1시간과 1분의 관계를 이해하고, 시간을 ‘시간’, ‘분’으로 표현할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-09],"실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를 이해한다."
수학,1-2학년군,도형과 측정,[2수03-10],"길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-11],"1m와 1cm의 관계를 이해하고, 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있다."
수학,1-2학년군,도형과 측정,[2수03-12],"여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다."
수학,1-2학년군,도형과 측정,[2수03-13],실생활 문제 상황과 연결하여 길이의 덧셈과 뺄셈을 할 수 있다.
수학,1-2학년군,자료와 가능성,[2수04-01],"여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준에 따른 결과를 말할 수 있다."
수학,1-2학년군,자료와 가능성,[2수04-02],"자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다."
수학,1-2학년군,자료와 가능성,[2수04-03],"자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다."
수학,3-4학년군,수와 연산,[4수01-01],"큰 수의 필요성을 인식하면서 10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 이해하고, 수를 읽고 쓸 수 있다."
수학,3-4학년군,수와 연산,[4수01-02],"다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다."
수학,3-4학년군,수와 연산,[4수01-03],세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
수학,3-4학년군,수와 연산,[4수01-04],곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
수학,3-4학년군,수와 연산,[4수01-05],"나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다."
수학,3-4학년군,수와 연산,[4수01-06],"나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다."
수학,3-4학년군,수와 연산,[4수01-07],나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
수학,3-4학년군,수와 연산,[4수01-08],"자연수의 덧셈, 뺄셈, 곱셈, 나눗셈과 관련한 여러 가지 상황에서 어림셈을 할 수 있다."
