교과,학년군,영역,성취기준코드,성취기준
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-01],아동기의 발달 특징을 이해하고 성장발달에 필요한 조건과 방법을 탐색한다.
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-02],"건강한 발달을 위한 자기 관리 방법을 탐색하고, 일상생활 속에서 올바른 생활습관과 태도를 갖도록 계획하여 실천한다."
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-03],건강한 가정생활을 위해 가족원 모두에게 다양한 요구가 있음을 이해하여 서로에 대한 배려와 돌봄을 실천한다.
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-04],균형 잡힌 식사의 중요성과 조건을 탐색하여 자신의 식습관을 검토해 보고 건강한 식습관 형성에 적용한다.
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-05],옷의 기능을 이해하여 평소 자신의 옷차림을 살펴보고 건강하고 적절한 옷 입기를 실천한다.
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-06],"가정일을 수행하는 과정에서 일의 가치와 중요성을 이해하고, 가정생활을 유지하는 데 필요한 가정일의 종류를 탐색한다."
실과,5-6학년군,인간 발달과 주도적 삶,[6실01-07],"직업의 필요성을 이해하고 적성, 흥미, 성격에 따라 진로 발달 계획을 세우고 주도적으로 탐색한다."
실과,5-6학년군,생활환경과 지속가능한 선택,[6실02-01],"시간이나 용돈과 같은 생활자원이 제한되어 있음을 이해하고, 생활자원의 사용가치를 높이는 방법을 탐색한다."
실과,5-6학년군,생활환경과 지속가능한 선택,[6실02-02],"생활자원 관리의 필요성을 인식하고, 생활자원의 합리적인 보관과 활용방법을 익힌다."
실과,5-6학년군,생활환경과 지속가능한 선택,[6실02-03],"생활자원의 올바른 사용이 가정과 환경에 도움이 됨을 이해하고 재활용, 재사용 등 환경을 고려한 관리 방법을 실천한다."
실과,5-6학년군,생활환경과 지속가능한 선택,[6실02-04],식재료 생산과 선택의 중요성을 인식하고 여러 식재료의 고유하고 다양한 맛을 경험하여 자신의 식사에 적용한다.
실과,5-6학년군,생활환경과 지속가능한 선택,[6실02-05],음식의 조리과정을 체험하여 자기 간식이나 식사를 스스로 마련하는 식생활을 실천한다.
