교과,학년군,성취기준코드,평가요소,상,중,하
국어,1-2학년군,[2국03-01],글자 쓰기 자세 및 태도,□ 바른 자세로 앉고 □ 연필을 바르게 잡으며 □ 처음부터 끝까지 바른 자세를 유지하는 경우,□ 대부분 바른 자세를 유지 하고 □ 연필 잡는 법이 안정적인 경우,"자세나 연필 잡는 법이 가끔 흐트러지지만, 교사의 안내에 따라 고치는 경우"
국어,1-2학년군,[2국03-02],글자 쓰기 자세 및 태도,□ 바른 자세로 앉고 □ 연필을 바르게 잡으며 □ 처음부터 끝까지 바른 자세를 유지하는 경우,□ 대부분 바른 자세를 유지 하고 □ 연필 잡는 법이 안정적인 경우,"자세나 연필 잡는 법이 가끔 흐트러지지만, 교사의 안내에 따라 고치는 경우"
국어,1-2학년군,[2국03-01],글자 형태의 정확성,"□ 글자의 모양과 크기가 정확 하고 일정하며, □ 획의 방향과 순서가 바르게 글씨를 쓰는 경우",□ 글자의 모양이 대체로 일정하고 □ 획의 방향과 순서가 잘 드러나는 경우,"글자의 모양을 또박또박 쓰려 노력하며, 모양과 순서를 점차 익혀 가고 있는 경우"
국어,1-2학년군,[2국03-02],글자 형태의 정확성,"□ 글자의 모양과 크기가 정확 하고 일정하며, □ 획의 방향과 순서가 바르게 글씨를 쓰는 경우",□ 글자의 모양이 대체로 일정하고 □ 획의 방향과 순서가 잘 드러나는 경우,"글자의 모양을 또박또박 쓰려 노력하며, 모양과 순서를 점차 익혀 가고 있는 경우"
국어,1-2학년군,[2국03-01],단어 및 문장 구성의 정확성,"단어를 정확히 쓰고, 문장의 띄어쓰기와 맞춤법이 모두 정확한 경우","단어와 문장을 대부분 바르게 쓰며, 의미가 잘 전달되는 경우","단어와 문장을 쓰려는 의지를 보이며, 의미가 드러나도록 노력하는 경우"
국어,1-2학년군,[2국03-02],단어 및 문장 구성의 정확성,"단어를 정확히 쓰고, 문장의 띄어쓰기와 맞춤법이 모두 정확한 경우","단어와 문장을 대부분 바르게 쓰며, 의미가 잘 전달되는 경우","단어와 문장을 쓰려는 의지를 보이며, 의미가 드러나도록 노력하는 경우"
국어,1-2학년군,[2국03-01],생각이나 느낌 표현 능력,겪은 일이나 느낌을 구체적 으로 떠올리고 문장으로 자연스럽게 표현하는 경우,겪은 일이나 느낌을 문장으로 명확하게 표현하는 경우,"겪은 일이나 느낌을 짧은 문장으로 표현하며, 표현 하려는 의지를 보이는 경우"
국어,1-2학년군,[2국03-02],생각이나 느낌 표현 능력,겪은 일이나 느낌을 구체적 으로 떠올리고 문장으로 자연스럽게 표현하는 경우,겪은 일이나 느낌을 문장으로 명확하게 표현하는 경우,"겪은 일이나 느낌을 짧은 문장으로 표현하며, 표현 하려는 의지를 보이는 경우"
국어,1-2학년군,[2국03-01],쓰기 흥미와 참여 태도,"쓰기에 즐겁게 참여하며, 스스로 생각을 떠올려 표현 하는 경우","쓰기에 관심을 가지고 적극적 으로 참여하며, 자신의 생각을 표현하는 경우","쓰기에 즐겁게 참여하며, 안내에 따라 자신의 생각을 쓰는 경우"
국어,1-2학년군,[2국03-02],쓰기 흥미와 참여 태도,"쓰기에 즐겁게 참여하며, 스스로 생각을 떠올려 표현 하는 경우","쓰기에 관심을 가지고 적극적 으로 참여하며, 자신의 생각을 표현하는 경우","쓰기에 즐겁게 참여하며, 안내에 따라 자신의 생각을 쓰는 경우"
